חותמת זמן,מצב לימודים,מוסד לימודים,סיווג מקום עבודה,תחום עיסוק - אפשר לבחור שילוב של עיסוקים,שם חברה (לחברות גלובליות באנגלית/חברות ישראליות בעברית),שנות ניסיון,"שכר (בש""ח) - ברוטו!",שכר שעתי/גלובלי,"הערות: תנאים (משכורת 13, קרן השתלמות וכו') וכל דבר שכדאי לציין",קבלת רכב מהעבודה,
5/3/2020 10:53:24,סטודנט/ית,בן גוריון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניתוח נתונים - BI/Data analyst,Unilevet,0-1,48,שעתי,,לא,
5/3/2020 14:29:22,בוגר/ת,HIT מכון טכנלוגי,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,2-4,8000,שעתי,,לא,
5/7/2020 10:03:20,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,,0-1,45,שעתי,קרן השתלמות ,לא,
5/9/2020 10:19:30,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,0-1,5500,שעתי,,כן,
5/11/2020 0:40:41,סטודנט/ית,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,37,שעתי,,לא,
5/16/2020 17:53:19,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),System support,Dot complains ,0-1,6000,גלובלי,,לא,
5/18/2020 17:40:50,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות, תפעול וייצור (תפ""י), תכנות: Frontend/Backend/Fullstack, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע, QA (Software) - ידני, QA (Software) - אוטומציה, Devops",intel,2-4,10000,שעתי,,לא,
5/27/2020 9:33:23,סטודנט/ית,מכללת סמי שמעון,מוסד ממשלתי,ניתוח נתונים - BI/Data analyst,Ness,0-1,9000,גלובלי,,לא,
5/27/2020 9:33:42,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,14000,גלובלי,,לא,
5/27/2020 9:34:39,בוגר/ת,עזריאלי מכללה להנדסה,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",,2-4,11,גלובלי,,לא,
5/27/2020 9:36:49,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,,0-1,40,שעתי,,לא,
5/27/2020 9:40:14,סטודנט/ית,אוניברסיטת תל אביב,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst",,0-1,6500,שעתי,,לא,
5/27/2020 9:51:47,סטודנט/ית,המרכז האקדמי רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ייבוא ייצוא,Philips,0-1,45,שעתי,קרן השתלמות אחרי 7 חודשים,לא,
5/27/2020 10:05:32,בוגר/ת,אוניברסיטת אריאל,לוחות זמנים,ניהול פרוייקטים/ PMO,,2-4,12500,גלובלי,קרן השתלמות,לא,
5/27/2020 10:07:50,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,google,0-1,13000,שעתי,,לא,
5/27/2020 10:22:30,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Iai,2-4,60,שעתי,יש גמול השתלמות ,לא,
5/31/2020 9:44:04,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,MAX,0-1,14000,גלובלי,,לא,
6/2/2020 12:47:45,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניתוח נתונים - BI/Data analyst, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,5000,שעתי,,לא,
6/2/2020 13:19:39,בוגר/ת,אוניברסיטת בר אילן,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח נתונים - BI/Data analyst, תפעול וייצור (תפ""י)",Partner,2-4,15000,גלובלי,,כן,
6/6/2020 23:58:29,סטודנט/ית,אוניברסיטת אריאל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,בנק,0-1,50,שעתי,,לא,
6/10/2020 10:56:06,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),לוגיסטיקה,SolarEdge,0-1,45,שעתי,"10bis,מתנות בחגים",לא,
6/10/2020 19:10:32,סטודנט/ית,רופין,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,,0-1,38,שעתי,,לא,
6/10/2020 19:11:18,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,40,שעתי,,לא,
6/10/2020 19:13:29,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,0-1,10000,שעתי,,לא,
6/10/2020 19:14:14,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,0-1,10000,שעתי,,לא,
6/10/2020 19:30:15,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,One BI,0-1,45,שעתי,,לא,
6/10/2020 19:30:31,סטודנט/ית,מכללת שנקר,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",רכש,אלביט אלאופ ,2-4,6000,שעתי,,לא,
6/10/2020 19:50:36,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,14500,גלובלי,קרן השתלמות,כן,
6/10/2020 19:58:57,סטודנט/ית,מכללת אפקה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",אלביט,0-1,50,שעתי,,לא,
6/10/2020 20:20:41,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",מטריקס,2-4,15800,גלובלי,קרן השתלמות,,
6/10/2020 21:31:09,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,תעשייה אווירית,0-1,54.22,שעתי,,לא,
6/10/2020 23:54:40,בוגר/ת,אורט בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,2-4,10500,שעתי,קרן השתלמות,לא,
6/11/2020 9:39:54,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסדות פיננסים וחברות ביטוח (בנקים וכו'),QA (Software) - ידני,מגדל,2-4,13210,גלובלי,קרן השתלמות ,לא,
6/15/2020 13:36:06,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,2-4,39.4,שעתי,,לא,
6/15/2020 14:11:28,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Bronx’s ,0-1,43500,גלובלי,,כן,
6/15/2020 14:11:40,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלביט,0-1,3300,שעתי,כלום,לא,
6/15/2020 18:23:16,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,Elbit,0-1,40,שעתי,,לא,
8/5/2020 11:41:12,בוגר/ת,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,,2-4,12000,שעתי,,לא,
8/5/2020 11:41:16,בוגר/ת,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,,2-4,12000,שעתי,,לא,
8/5/2020 11:42:40,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),מדעי נתונים - Data science,intel,2-4,65,שעתי,,לא,
8/5/2020 11:44:58,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),מדעי נתונים - Data science,,2-4,38000,גלובלי,"קרן השתלמות, החזר דלק",לא,
8/5/2020 11:46:13,בוגר/ת,המרכז האקמי לב,מוסד ממשלתי,הנדסת ארגון ושיטות,,0-1,6000,גלובלי,"קרן השתלמות, פנסיה וכו",לא,
8/5/2020 11:46:36,סטודנט/ית,מכללת אפקה,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),הנדסת ארגון ושיטות,,0-1,4000,שעתי,,לא,
8/5/2020 11:47:13,בוגר/ת,אוניברסיטת אריאל,תחום הבניה,ניהול פרוייקטים/ PMO,,2-4,15000,גלובלי,אחרי חצי שנה,לא,
8/5/2020 11:47:24,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,15000,גלובלי,קרן השתלמות,לא,
8/5/2020 11:47:59,סטודנט/ית,שנקר,הייטק (סטארט-אפים וחברות גדולות),"הנדסת ארגון ושיטות, Devops, Operations/NOC",,0-1,11000,שעתי,"תןביס, חופשה שנתית, מתנות",לא,
8/5/2020 11:52:19,בוגר/ת,מכללת עזריאלי,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,10000,גלובלי,קרן השתלמות,לא,
8/5/2020 11:52:26,בוגר/ת,HIT מכון טכנלוגי,חברה פרטית,ניהול פרוייקטים/ PMO,אשד ניהול נכסים,0-1,6000,שעתי,,לא,
8/5/2020 11:52:53,סטודנט/ית,טכניון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,2-4,7000,שעתי,,לא,
8/5/2020 11:53:20,סטודנט/ית,אוניברסיטת תל אביב,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Expander,0-1,9200,גלובלי,,לא,
8/5/2020 11:55:03,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,0-1,59,שעתי,,לא,
8/5/2020 12:05:01,סטודנט/ית,מכללת אפקה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",Devops,אלביט מערכות,0-1,50,שעתי,,לא,
8/5/2020 12:05:05,סטודנט/ית,מכללת אפקה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",Devops,אלביט מערכות,0-1,50,שעתי,,לא,
8/5/2020 12:07:46,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),מדעי נתונים - Data science,,10+,46000,גלובלי,,,
8/5/2020 12:07:54,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),מדעי נתונים - Data science,,10+,46000,גלובלי,,,
8/5/2020 12:13:37,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,ניתוח נתונים - BI/Data analyst,,0-1,8000,שעתי,,כן,
8/5/2020 13:26:11,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),מדעי נתונים - Data science,,0-1,20000,גלובלי,קרן השתלמות,לא,
8/5/2020 14:02:00,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,בנק,0-1,15000,גלובלי,קרן השתלמות,לא,
8/5/2020 14:54:38,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,Medatech ,0-1,12000,גלובלי,,לא,
8/5/2020 15:02:28,בוגר/ת,מנהל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,,5-7,25000,גלובלי,השתלמות,לא,
8/5/2020 16:29:18,בוגר/ת,אוניברסיטת חיפה,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,,0-1,10000,גלובלי,,לא,
8/5/2020 17:10:20,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",הנדסת ארגון ושיטות,Iai,2-4,6500,שעתי,,לא,
8/5/2020 18:48:30,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע, QA (Software) - ידני",,2-4,50,שעתי,,,
8/6/2020 11:42:05,סטודנט/ית,אוניברסיטת אריאל,מוסד ממשלתי,QA (Software) - אוטומציה,משרד האוצר,0-1,6000,שעתי,קרן השתלמות מהיום הראשון ותנאים של עובדי מדינה,לא,
8/9/2020 14:37:42,בוגר/ת,מכללת סמי שמעון,עצמאי,ניהול קמפיינים דיגיטליים,,0-1,10000,גלובלי,,לא,
8/10/2020 16:32:25,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,15000,גלובלי,קרן השתלמות,לא,
8/19/2020 8:20:37,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, מדעי נתונים - Data science, תפעול וייצור (תפ""י), תכנות: Frontend/Backend/Fullstack, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,10000,שעתי,,לא,
9/7/2020 17:30:08,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,6800,גלובלי,"קרן השתלמות, תן ביס, נסיעות",לא,
9/24/2020 11:51:18,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),מנהל קמפיינים,Kendago,0-1,11000,גלובלי,,לא,
9/24/2020 11:51:44,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,40,שעתי,,לא,
9/24/2020 11:54:04,סטודנט/ית,אוניברסיטת אריאל,מוסד ממשלתי,ניהול פרוייקטים/ PMO,מילגם,0-1,4000,שעתי,יש קרן השתלמות,לא,
9/24/2020 11:55:00,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Pandologic,0-1,40,שעתי,,לא,
9/24/2020 11:57:33,בוגר/ת,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),Operation,Moon active,2-4,15000,גלובלי,,לא,
9/24/2020 11:58:24,בוגר/ת,רופין,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),יועץ מערכות מידע ,פאהן קנה,0-1,7000,גלובלי,,לא,
9/24/2020 11:59:52,בוגר/ת,מרכז אקדמי לב,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,exlibris,2-4,12500,גלובלי,קרן השתלמות,לא,
9/24/2020 12:10:02,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,BlueVine,0-1,50,שעתי,,לא,
9/24/2020 12:10:32,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניהול פרוייקטים/ PMO,הפועלים,2-4,16000,גלובלי,קרן השתלמות,לא,
9/24/2020 12:11:42,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,Be2see אשר שלחו אותי למגדל,0-1,14000,גלובלי,קרן השתלמות,לא,
9/24/2020 12:38:17,סטודנט/ית,אורט בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תו""ב",רפאל,2-4,50,שעתי,,לא,
9/24/2020 12:39:24,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלתא,0-1,42,שעתי,קרן השתלמות מעולה ,לא,
9/24/2020 12:56:42,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",הנדסת איכות,,2-4,14400,גלובלי,"החזקת רכב, קרן השתלמות, דמי היגוד, דמי הבראה",לא,
9/24/2020 12:58:40,בוגר/ת,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,2-4,16000,גלובלי,,לא,
9/24/2020 13:50:02,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Mixtiles,2-4,17000,גלובלי,פנסיה קרן השתלמות אופציות אוכל ,לא,
9/24/2020 14:22:23,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",כיל,2-4,11000,גלובלי,,לא,
9/24/2020 15:26:30,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,13000,גלובלי,קרן השתלמות,לא,
9/24/2020 16:40:40,בוגר/ת,מכללת סמי שמעון,הייטק (סטארט-אפים וחברות גדולות),Product manager,,2-4,20000,גלובלי,"קרן השתלמות, כל 6 חודשים בונוס, מחלה מיום הראשון, 22 ימי חופש בשנה",לא,
9/24/2020 19:00:41,בוגר/ת,אוניברסיטת אריאל,רשת חנויות,הנדסת ארגון ושיטות,,0-1,10000,גלובלי,,לא,
9/24/2020 19:37:57,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Ex Libris,0-1,14000,גלובלי,,לא,
10/5/2020 16:06:58,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst",,0-1,7200,גלובלי,10bis,לא,
10/20/2020 2:22:20,בוגר/ת,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י)",,0-1,11000,שעתי,"קרן השתלמות, הסעות, ארוחות, מתנות, בונוסים",לא,
10/20/2020 14:53:15,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,0-1,8000,שעתי,,לא,
11/2/2020 19:19:13,בוגר/ת,אוניברסיטת אריאל,חברה,"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,8000,גלובלי,,כן,
11/2/2020 19:19:53,בוגר/ת,אוניברסיטת אריאל,בנייה,ניהול פרוייקטים/ PMO,,2-4,15000,גלובלי,קרן השתלמות אחרי חצי שנה,לא,
11/2/2020 19:20:55,סטודנט/ית,אוניברסיטת אריאל,מוסד ממשלתי,הנדסת ארגון ושיטות,צהל,0-1,29,שעתי,,לא,
11/2/2020 19:25:16,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,ניתוח נתונים - BI/Data analyst,,0-1,9000,גלובלי,,לא,
11/2/2020 19:27:03,בוגר/ת,בן גוריון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניתוח נתונים - BI/Data analyst,,0-1,12400,גלובלי,,לא,
11/2/2020 19:34:54,בוגר/ת,בראילן,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,10+,14000,שעתי,,לא,
11/2/2020 19:39:19,בוגר/ת,אוניברסיטת תל אביב,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),הנדסת ארגון ושיטות,,0-1,14000,גלובלי,"קרן השתלמות, קרן פנסיה, תשלום עבור נסיעות ברכב פרטי",לא,
11/2/2020 19:44:43,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",תעשייה אווירית ,2-4,13000,גלובלי,קרן השתלמות ,לא,
11/2/2020 19:58:44,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניהול פרוייקטים/ PMO,,0-1,13000,גלובלי,קרן השתלמות,לא,
11/2/2020 19:59:49,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),Support,,2-4,50,שעתי,,לא,
11/2/2020 20:03:43,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Menahel4u,0-1,7500,שעתי,,לא,
11/2/2020 20:03:53,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,40,שעתי,,לא,
11/2/2020 20:26:12,בוגר/ת,עזריאלי,בית חולים הדסה ,"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות",מרכז רפואי הדסה,0-1,10000,גלובלי,"משכורת 13, קרן השתלמות, הטבות בריאות בבית חולים",לא,
11/2/2020 21:55:39,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,10000,גלובלי,,לא,
11/2/2020 22:27:04,בוגר/ת,רופין,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ביקורת פנימית מבקר ויועץ מערכות מידע,פאהן קנה ,0-1,7000,גלובלי,,לא,
11/3/2020 8:53:54,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Menahel4u,0-1,7500,שעתי,,לא,
11/3/2020 17:31:16,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,2-4,5000,שעתי,,לא,
11/12/2020 11:47:47,בוגר/ת,המרכז האקדמי לב,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",המשבב ,0-1,10500,שעתי,,,
11/15/2020 9:55:56,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,2-4,4000,שעתי,,לא,
11/16/2020 16:41:39,סטודנט/ית,רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י)",,2-4,8000,גלובלי,,לא,
11/16/2020 16:41:46,סטודנט/ית,רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י)",,2-4,8000,גלובלי,,לא,
11/17/2020 13:06:16,בוגר/ת,המרכז האקדמי רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",יבוא ויצוא,Philips healthcare,0-1,11000,גלובלי,"עובדת קבלן, קרן השתלמות אחרי 7 חודשים",לא,
11/21/2020 14:34:35,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Optimove,0-1,14000,גלובלי,קרן השתלמות,לא,
11/21/2020 14:41:21,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,12300,גלובלי,"קרן השתלמות, ביטוח מנהלים, ביטוח בריאות",לא,
11/21/2020 15:12:49,בוגר/ת,אורן בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלביט,0-1,13000,גלובלי,,לא,
11/21/2020 15:13:07,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",בית תוכנה,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,12000,גלובלי,"קרן השתלמות , 3000 שח החזר הוצאות נסיעה בחודש",לא,
11/21/2020 15:26:15,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,11000,גלובלי,,לא,
11/21/2020 15:39:35,בוגר/ת,בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,טמבור,5-7,12500,גלובלי,"קה""ש",לא,
11/21/2020 15:42:45,סטודנט/ית,רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,אלקטרה,0-1,11000,גלובלי,,לא,
11/21/2020 15:47:06,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,10500,גלובלי,"קרן השתלמות, פנסיה",לא,
11/21/2020 16:05:23,בוגר/ת,טכניון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,10000,גלובלי,,לא,
11/21/2020 16:13:31,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות",,0-1,35,שעתי,,לא,
11/21/2020 17:46:00,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",אלומה,2-4,10000,גלובלי,,לא,
11/21/2020 17:46:04,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",אלומה,2-4,10000,גלובלי,,לא,
11/21/2020 17:49:49,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,הנדסת ארגון ושיטות,,2-4,14600,גלובלי,"אחזקת רכב, קרן השתלמות , משכורת 13",לא,
11/22/2020 9:06:58,בוגר/ת,אוניברסיטת אריאל,תקשורת,"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst",Yes,0-1,13000,גלובלי,,לא,
