חותמת זמן,מצב לימודים,מוסד לימודים,סיווג מקום עבודה,תחום עיסוק - אפשר לבחור שילוב של עיסוקים,שם חברה (לחברות גלובליות באנגלית/חברות ישראליות בעברית),שנות ניסיון,"שכר (בש""ח) - ברוטו!",שכר שעתי/גלובלי,"הערות: תנאים (משכורת 13, קרן השתלמות וכו') וכל דבר שכדאי לציין",קבלת רכב מהעבודה,
8/6/2019 13:18:30,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות, תפעול וייצור (תפ""י), ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,41,שעתי,,לא,
8/6/2019 13:50:23,סטודנט/ית,טכניון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח נתונים - BI/Data analyst, מדעי נתונים - Data science, Devops",Intel,2-4,90,שעתי,,לא,
8/6/2019 15:15:14,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,2-4,12500,גלובלי,"משכורת 13 , קרן השתלמות, טלפון, בונוס שנתי",לא,
8/6/2019 19:20:10,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלתא,2-4,60,שעתי,,לא,
8/7/2019 17:08:27,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י)",פרופלוס,0-1,4000,שעתי,,לא,
8/11/2019 15:34:31,סטודנט/ית,טכניון,הייטק (סטארט-אפים וחברות גדולות),בקרה תקציבית,,0-1,60,שעתי,קרן השתלמות,לא,
8/12/2019 17:22:41,בוגר/ת,אוניברסיטת תל אביב,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",צהל,5-7,12000,גלובלי,כלום ושום דבר,לא,
8/13/2019 6:39:23,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,2-4,55,שעתי,"תן ביס 100 ביום , נסיעות 50 ביום",לא,
8/14/2019 11:49:31,סטודנט/ית,HIT מכון טכנלוגי,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",הנדסת ארגון ושיטות,תעשייה אווירית,0-1,55,שעתי,,לא,
8/14/2019 13:24:33,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,אלתא,0-1,3000,שעתי,,לא,
8/14/2019 13:43:14,סטודנט/ית,HIT מכון טכנלוגי,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניהול פרוייקטים/ PMO,,0-1,37.5,שעתי,,לא,
